logdir,hostpair,server,client,bw_limit,repetition,goodput,filesize,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,18,1101.6718034750027,8589934592.0,,,,,,,,,,,0,0,9110828183,28887515,6291797,285497,0,0,28887515,9110828183,285497,6291797,6291535,0,254,285489,254,0,285489,0,0,6291789,0,0,,,62.377449406
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,19,1094.7305453813235,8589934592.0,,,,,,,,,,,0,0,9111322000,24832732,6292154,245335,0,0,24832732,9111322000,245335,6292154,6291532,0,613,245326,613,0,245326,0,0,6292145,0,0,,,62.772959972
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,20,1080.900917893515,8589934592.0,,,,,,,,,,,0,0,9112450165,25113486,6292958,248048,0,0,25113758,9112450437,248049,6292959,6291538,0,1412,248040,1412,0,248040,0,0,6292950,0,0,,,63.576110731
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,1,952.6884246629343,8589934592.0,,,,,,,,,,,0,0,9185465778,19488379,7187390,192926,0,0,19488379,9185465778,192926,7187390,7180552,0,6828,192916,6828,0,192916,0,0,7187380,0,0,,,72.132163715
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,2,956.4119017961253,8589934592.0,,,,,,,,,,,0,0,9192767710,17090216,7193102,169195,0,0,17090488,9192767982,169196,7193103,7180384,0,12710,169187,12710,0,169187,0,0,7193094,0,0,,,71.851340148
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,3,1088.0542597411127,8589934592.0,,,,,,,,,,,0,0,9189741647,30088146,7190735,297873,0,0,30088146,9189741647,297873,7190735,7181233,0,9494,297865,9494,0,297865,0,0,7190727,0,0,,,63.158134277
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,4,970.9479444026339,8589934592.0,,,,,,,,,,,0,0,9186937108,16621949,7188540,164557,0,0,16621751,9186937108,164557,7188540,7180348,0,8183,164548,8183,0,164548,0,0,7188531,0,0,,,70.775654786
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,5,974.7149296826899,8589934592.0,,,,,,,,,,,0,0,9186863984,16546906,7188484,163814,0,0,16546906,9186863984,163814,7188484,7180344,0,8131,163806,8131,0,163806,0,0,7188475,0,0,,,70.502128176
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,6,986.2491358916417,8589934592.0,,,,,,,,,,,0,0,9189401956,16184353,7190468,160224,0,0,16184353,9189401956,160224,7190468,7180319,0,10142,160217,10142,0,160217,0,0,7190461,0,0,,,69.677603615
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,7,1123.6413309560967,8589934592.0,,,,,,,,,,,0,0,9188137420,30044311,7189478,297453,0,0,30044519,9188137356,297453,7189477,7181225,0,8246,297446,8246,0,297446,0,0,7189471,0,0,,,61.157839828
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,8,961.7990001692958,8589934592.0,,,,,,,,,,,0,0,9192735746,16983061,7193077,168132,0,0,16983061,9192735746,168132,7193077,7180377,0,12692,168124,12692,0,168124,0,0,7193069,0,0,,,71.448896252
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,9,968.5306975266875,8589934592.0,,,,,,,,,,,0,0,9191276236,16739045,7191935,165716,0,0,16739045,9191275964,165716,7191934,7180359,0,11568,165708,11568,0,165708,0,0,7191927,0,0,,,70.952295845
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,10,968.6917859625372,8589934592.0,,,,,,,,,,,0,0,9189751824,16634477,7190740,164682,0,0,16634749,9189752096,164683,7190741,7180351,0,10383,164676,10383,0,164676,0,0,7190734,0,0,,,70.940497327
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,11,964.2050697396234,8589934592.0,,,,,,,,,,,0,0,9191696124,16948556,7192262,167790,0,0,16948556,9191696124,167790,7192262,7180374,0,11882,167784,11882,0,167784,0,0,7192256,0,0,,,71.270602843
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,12,967.1307546107838,8589934592.0,,,,,,,,,,,0,0,9188741836,16433621,7189952,162692,0,0,16433621,9188741836,162692,7189952,7180337,0,9607,162684,9607,0,162684,0,0,7189944,0,0,,,71.055000623
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,13,981.8396393912147,8589934592.0,,,,,,,,,,,0,0,9188612996,16225555,7189851,160634,0,0,16225827,9188613268,160635,7189852,7180321,0,9522,160626,9522,0,160626,0,0,7189843,0,0,,,69.990529946
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,14,963.9670894192052,8589934592.0,,,,,,,,,,,0,0,9192215952,17174483,7192672,170028,0,0,17174483,9192215952,170028,7192672,7180390,0,12273,170019,12273,0,170019,0,0,7192663,0,0,,,71.288197872
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,15,966.4151816768199,8589934592.0,,,,,,,,,,,0,0,9191841176,16997834,7192379,168279,0,0,16997770,9191841112,168278,7192378,7180377,0,11992,168269,11992,0,168269,0,0,7192369,0,0,,,71.107612797
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,16,969.1943180296593,8589934592.0,,,,,,,,,,,0,0,9190240500,16730619,7191125,165635,0,0,16730827,9190240708,165635,7191125,7180357,0,10759,165626,10759,0,165626,0,0,7191116,0,0,,,70.903714244
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,mvfst,picoquic,none,17,966.9009872061083,8589934592.0,,,,,,,,,,,0,0,9192611591,17002985,7192981,168330,0,0,17002921,9192611527,168329,7192980,7180378,0,12594,168321,12594,0,168321,0,0,7192972,0,0,,,71.07188645
